datetime,adj_close,close,high,low,open,volume
2024-01-22,17458.5,17458.5,17585.0,17434.0,17466.0,637245
2024-01-23,17531.25,17531.25,17558.25,17409.5,17461.0,508078
2024-01-24,17621.0,17621.0,17793.5,17552.25,17554.0,721605
2024-01-25,17634.5,17634.5,17752.0,17542.0,17614.75,710822
2024-01-26,17527.0,17527.0,17632.0,17466.0,17571.25,631481
2024-01-29,17706.0,17706.0,17716.25,17457.5,17502.0,568739
2024-01-30,17588.5,17588.5,17735.75,17467.0,17711.75,554146
2024-01-31,17242.25,17242.25,17484.0,17221.5,17415.5,816119
2024-02-01,17436.75,17436.75,17646.75,17262.75,17273.25,705238
2024-02-02,17732.75,17732.75,17775.5,17465.5,17588.0,761167
2024-02-05,17700.0,17700.0,17745.5,17554.25,17696.0,621645
2024-02-06,17660.0,17660.0,17769.0,17560.75,17698.5,623168
2024-02-07,17841.75,17841.75,17875.5,17629.75,17645.75,613340
2024-02-08,17868.25,17868.25,17896.5,17792.25,17856.25,471370
2024-02-09,18039.25,18039.25,18071.0,17852.25,17854.25,499282
2024-02-12,17965.0,17965.0,18121.5,17911.25,18040.0,538132
2024-02-13,17676.75,17676.75,17963.25,17542.0,17928.5,858230
2024-02-14,17881.0,17881.0,17887.0,17669.25,17703.0,688088
2024-02-15,17912.75,17912.75,17968.25,17780.5,17870.0,657768
2024-02-16,17744.0,17744.0,18026.0,17715.0,17952.0,744628
2024-02-20,17607.25,17607.25,17807.5,17452.5,17729.25,889292
2024-02-21,17536.75,17536.75,17723.0,17372.75,17573.0,731450
2024-02-22,18047.5,18047.5,18087.0,17676.0,17702.5,759232
2024-02-23,17991.0,17991.0,18144.75,17946.0,18023.25,659725
2024-02-26,17977.0,17977.0,18059.5,17922.0,17961.5,526169
2024-02-27,18021.0,18021.0,18040.25,17908.75,17951.0,567818
2024-02-28,17915.25,17915.25,18019.75,17846.25,18017.5,553731
2024-02-29,18082.75,18082.75,18109.5,17826.0,17870.0,680147
2024-03-01,18338.25,18338.25,18372.75,18029.5,18075.0,639153
2024-03-04,18262.0,18262.0,18377.75,18234.25,18336.0,569342
2024-03-05,17930.25,17930.25,18252.0,17832.5,18246.0,803857
2024-03-06,18044.25,18044.25,18174.25,17942.5,17981.0,806131
2024-03-07,18316.25,18316.25,18360.0,17915.75,18041.0,758499
2024-03-08,18046.75,18046.75,18436.5,18012.5,18279.0,1048847
2024-03-11,17971.0,17971.0,18068.25,17890.5,18056.0,472517
2024-03-12,18227.75,18227.75,18241.75,17930.0,18010.5,281274
2024-03-13,18078.5,18078.5,18256.5,18033.25,18218.0,179714
2024-03-14,18024.5,18024.5,18177.75,17915.5,18094.25,110277
2024-03-15,17854.75,17854.75,18074.75,17831.75,18006.0,705711
2024-03-18,18231.5,18231.5,18381.0,18062.25,18073.5,656629
2024-03-19,18270.0,18270.0,18289.25,18053.25,18222.0,660394
2024-03-20,18479.75,18479.75,18545.0,18227.5,18274.0,618809
2024-03-21,18561.75,18561.75,18709.0,18526.75,18539.75,606959
2024-03-22,18574.75,18574.75,18626.0,18492.0,18580.5,511962
2024-03-25,18513.5,18513.5,18601.25,18414.75,18567.0,456250
2024-03-26,18449.0,18449.0,18619.0,18439.25,18531.25,516507
2024-03-27,18503.75,18503.75,18571.75,18378.5,18477.5,605634
2024-03-28,18475.0,18475.0,18538.75,18447.5,18505.0,515193
2024-04-01,18497.25,18497.25,18612.0,18414.5,18503.0,572133
2024-04-02,18330.0,18330.0,18511.0,18201.5,18497.25,618982
2024-04-03,18373.25,18373.25,18451.75,18232.5,18345.0,597987
2024-04-04,18076.75,18076.75,18568.0,18055.25,18388.5,777140
2024-04-05,18300.75,18300.75,18408.25,18051.5,18086.25,809193
2024-04-08,18295.0,18295.0,18376.0,18237.5,18348.25,524203
2024-04-09,18359.75,18359.75,18407.25,18160.75,18314.75,696069
2024-04-10,18196.75,18196.75,18474.25,18053.5,18381.0,880504
2024-04-11,18485.0,18485.0,18518.75,18088.0,18184.0,728802
2024-04-12,18179.25,18179.25,18507.75,18120.25,18486.25,787334
2024-04-15,17876.25,17876.25,18350.75,17841.5,18151.0,797316
2024-04-16,17881.25,17881.25,17988.0,17792.0,17879.0,766364
2024-04-17,17658.5,17658.5,17968.5,17615.25,17897.0,844749
2024-04-18,17547.25,17547.25,17770.75,17506.25,17669.75,756158
2024-04-19,17180.75,17180.75,17553.25,17113.25,17530.75,1023135
2024-04-22,17350.0,17350.0,17448.0,17148.5,17228.25,646130
2024-04-23,17606.75,17606.75,17666.0,17286.25,17352.25,601826
2024-04-24,17664.5,17664.5,17795.5,17481.75,17682.0,667402
2024-04-25,17567.5,17567.5,17827.5,17308.25,17450.0,820011
2024-04-26,17845.75,17845.75,17901.5,17668.25,17808.25,628227
2024-04-29,17904.25,17904.25,17949.0,17791.25,17864.75,528891
2024-04-30,17571.25,17571.25,17920.25,17473.5,17918.5,677704
2024-05-01,17438.25,17438.25,17793.25,17399.25,17462.5,791170
2024-05-02,17649.75,17649.75,17755.25,17386.25,17487.0,635300
2024-05-03,18000.75,18000.75,18050.25,17719.5,17744.25,556949
2024-05-06,18195.5,18195.5,18201.25,17983.75,18047.5,395489
2024-05-07,18199.5,18199.5,18266.25,18151.0,18189.5,469722
2024-05-08,18186.5,18186.5,18242.25,18072.5,18194.0,453714
2024-05-09,18214.5,18214.5,18240.25,18103.75,18160.75,471196
2024-05-10,18255.0,18255.0,18348.0,18188.5,18226.0,473881
2024-05-13,18295.5,18295.5,18336.25,18228.75,18238.0,411036
2024-05-14,18415.0,18415.0,18433.0,18165.5,18282.0,555369
2024-05-15,18691.75,18691.75,18707.0,18393.0,18409.75,605869
2024-05-16,18650.0,18650.0,18760.75,18633.25,18693.25,548582
2024-05-17,18635.25,18635.25,18686.75,18545.0,18642.0,489227
2024-05-20,18763.0,18763.0,18794.5,18633.0,18633.5,470381
2024-05-21,18799.25,18799.25,18808.75,18678.0,18746.0,426117
2024-05-22,18786.75,18786.75,18891.0,18684.25,18798.25,578439
2024-05-23,18696.25,18696.25,19023.25,18621.5,18860.5,851576
2024-05-24,18876.0,18876.0,18926.0,18680.0,18684.0,552083
2024-05-28,18940.5,18940.5,18980.5,18819.5,18874.75,642954
2024-05-29,18802.75,18802.75,18949.75,18740.0,18949.5,573938
2024-05-30,18606.5,18606.5,18787.0,18546.25,18753.0,619548
2024-05-31,18591.0,18591.0,18668.25,18241.25,18590.75,834003
2024-06-03,18646.25,18646.25,18755.5,18435.75,18590.25,669104
2024-06-04,18701.0,18701.0,18753.25,18511.25,18662.5,616703
2024-06-05,19074.25,19074.25,19090.5,18696.25,18711.0,575227
2024-06-06,19060.25,19060.25,19124.5,19017.25,19089.5,524900
2024-06-07,19037.75,19037.75,19155.0,18940.0,19064.0,612033
2024-06-10,19109.75,19109.75,19129.75,18974.25,19025.0,571666
2024-06-11,19242.25,19242.25,19257.5,18994.5,19107.25,564706
2024-06-12,19496.5,19496.5,19612.25,19233.5,19248.0,691079
2024-06-13,19602.5,19602.5,19691.0,19500.0,19602.0,584725
2024-06-14,19685.5,19685.5,19699.5,19501.5,19602.75,584288
2024-06-17,19921.25,19921.25,20001.0,19640.5,19695.0,423232
2024-06-18,19919.25,19919.25,19996.5,19851.75,19918.5,201834
2024-06-20,19763.25,19763.25,20095.0,19694.25,19930.25,157046
2024-06-21,19747.2890625,19747.2890625,19819.25,19687.5,19781.25,590839
2024-06-24,19750.75,19750.75,20030.25,19728.0,20014.75,683900
2024-06-25,19972.25,19972.25,19981.25,19726.0,19756.0,574518
2024-06-26,20012.5,20012.5,20070.5,19901.0,19973.0,590175
2024-06-27,20039.5,20039.5,20116.75,19874.25,19946.0,589649
2024-06-28,19927.25,19927.25,20273.25,19906.25,20063.25,750324
2024-07-01,20052.0,20052.0,20074.0,19811.75,19970.0,639341
2024-07-02,20255.25,20255.25,20259.25,19910.0,20045.75,621477
2024-07-03,20411.5,20411.5,20435.25,20205.0,20241.0,395129
2024-07-05,20620.75,20620.75,20639.5,20361.0,20419.25,600207
2024-07-08,20659.75,20659.75,20688.0,20579.25,20591.5,497107
2024-07-09,20678.5,20678.5,20771.75,20615.75,20681.0,569689
2024-07-10,20899.75,20899.75,20916.75,20684.5,20686.0,576694
2024-07-11,20441.75,20441.75,20983.75,20377.25,20895.5,906128
2024-07-12,20524.0,20524.0,20741.0,20335.0,20432.75,724343
2024-07-15,20583.75,20583.75,20797.0,20506.25,20580.0,703410
2024-07-16,20598.0,20598.0,20684.5,20464.5,20628.0,629745
2024-07-17,19997.5,19997.5,20597.75,19965.75,20591.0,854323
2024-07-18,19899.25,19899.25,20162.5,19758.75,20024.25,964287
