datetime,adj_close,close,high,low,open,volume
2024-01-22,38199.0,38199.0,38302.0,38048.0,38048.0,133217
2024-01-23,38089.0,38089.0,38209.0,37976.0,38196.0,106698
2024-01-24,37979.0,37979.0,38253.0,37950.0,38103.0,140541
2024-01-25,38210.0,38210.0,38219.0,37911.0,38056.0,153939
2024-01-26,38258.0,38258.0,38374.0,38050.0,38159.0,132494
2024-01-29,38488.0,38488.0,38498.0,38157.0,38209.0,96393
2024-01-30,38612.0,38612.0,38644.0,38386.0,38432.0,107240
2024-01-31,38280.0,38280.0,38720.0,38247.0,38568.0,183773
2024-02-01,38625.0,38625.0,38661.0,38212.0,38288.0,151960
2024-02-02,38765.0,38765.0,38892.0,38433.0,38598.0,150153
2024-02-05,38466.0,38466.0,38797.0,38310.0,38753.0,145439
2024-02-06,38613.0,38613.0,38633.0,38367.0,38451.0,110199
2024-02-07,38774.0,38774.0,38843.0,38546.0,38591.0,107428
2024-02-08,38824.0,38824.0,38847.0,38627.0,38789.0,92746
2024-02-09,38748.0,38748.0,38979.0,38645.0,38795.0,109918
2024-02-12,38884.0,38884.0,39012.0,38679.0,38713.0,101088
2024-02-13,38333.0,38333.0,38897.0,38095.0,38863.0,193343
2024-02-14,38494.0,38494.0,38526.0,38255.0,38337.0,131924
2024-02-15,38858.0,38858.0,38866.0,38455.0,38490.0,123765
2024-02-16,38697.0,38697.0,38909.0,38653.0,38858.0,129456
2024-02-20,38642.0,38642.0,38747.0,38523.0,38658.0,182425
2024-02-21,38677.0,38677.0,38749.0,38400.0,38677.0,138637
2024-02-22,39123.0,39123.0,39214.0,38633.0,38636.0,161911
2024-02-23,39189.0,39189.0,39343.0,39087.0,39102.0,117174
2024-02-26,39116.0,39116.0,39290.0,39070.0,39187.0,86428
2024-02-27,39016.0,39016.0,39154.0,38911.0,39097.0,105461
2024-02-28,38993.0,38993.0,39002.0,38789.0,38988.0,108838
2024-02-29,39043.0,39043.0,39123.0,38837.0,38911.0,147273
2024-03-01,39142.0,39142.0,39172.0,38892.0,39019.0,141434
2024-03-04,39022.0,39022.0,39125.0,38906.0,39114.0,109861
2024-03-05,38607.0,38607.0,38995.0,38478.0,38995.0,173258
2024-03-06,38706.0,38706.0,38901.0,38584.0,38617.0,163074
2024-03-07,38826.0,38826.0,38944.0,38548.0,38706.0,134592
2024-03-08,38756.0,38756.0,39008.0,38630.0,38847.0,202657
2024-03-11,38797.0,38797.0,38821.0,38820.0,38821.0,120299
2024-03-12,39032.0,39032.0,39023.0,39003.0,39023.0,72661
2024-03-13,39067.0,39067.0,39104.0,39090.0,39090.0,31585
2024-03-14,38913.0,38913.0,39244.0,38704.0,39090.0,35549
2024-03-15,38691.1796875,38691.1796875,38994.0,38691.1796875,38892.0,168986
2024-03-18,39223.0,39223.0,39337.0,39089.0,39139.0,118699
2024-03-19,39539.0,39539.0,39556.0,39115.0,39239.0,140885
2024-03-20,39940.0,39940.0,39988.0,39425.0,39545.0,157550
2024-03-21,40206.0,40206.0,40316.0,39948.0,39980.0,145317
2024-03-22,39868.0,39868.0,40267.0,39820.0,40231.0,127832
2024-03-25,39699.0,39699.0,39853.0,39681.0,39848.0,96100
2024-03-26,39680.0,39680.0,39822.0,39657.0,39711.0,96699
2024-03-27,40144.0,40144.0,40181.0,39742.0,39754.0,128240
2024-03-28,40176.0,40176.0,40240.0,40086.0,40140.0,105260
