datetime,adj_close,close,high,low,open,volume
2023-07-18,345.3399963378906,345.3399963378906,347.25,343.5400085449219,344.04998779296875,2565300
2023-07-19,342.42999267578125,342.42999267578125,345.3800048828125,341.989990234375,344.2099914550781,3032100
2023-07-20,346.6099853515625,346.6099853515625,346.7900085449219,342.8500061035156,343.0899963378906,3146000
2023-07-21,345.760009765625,345.760009765625,347.6199951171875,345.1000061035156,346.760009765625,3301900
2023-07-24,349.6300048828125,349.6300048828125,351.19000244140625,346.2799987792969,346.7699890136719,3269400
2023-07-25,347.5799865722656,347.5799865722656,349.6600036621094,345.5400085449219,349.32000732421875,3014000
2023-07-26,349.79998779296875,349.79998779296875,351.0899963378906,347.5199890136719,347.55999755859375,2682900
2023-07-27,349.30999755859375,349.30999755859375,351.2699890136719,348.6000061035156,350.69000244140625,2706700
2023-07-28,349.80999755859375,349.80999755859375,351.0,348.32000732421875,349.92999267578125,2473300
2023-07-31,351.9599914550781,351.9599914550781,352.3299865722656,350.2099914550781,350.7300109863281,2621600
2023-08-01,352.260009765625,352.260009765625,353.4200134277344,351.25,352.0299987792969,2293300
2023-08-02,351.19000244140625,351.19000244140625,352.8900146484375,349.69000244140625,351.45001220703125,3085900
2023-08-03,353.80999755859375,353.80999755859375,354.4700012207031,349.4200134277344,350.2900085449219,2942000
2023-08-04,349.989990234375,349.989990234375,355.1099853515625,349.3900146484375,353.989990234375,2842000
2023-08-07,362.5799865722656,362.5799865722656,364.6300048828125,355.1499938964844,355.7300109863281,5379900
2023-08-08,363.7300109863281,363.7300109863281,364.25,358.8500061035156,359.4200134277344,3428800
2023-08-09,358.0199890136719,358.0199890136719,364.42999267578125,356.05999755859375,364.20001220703125,4424600
2023-08-10,356.9800109863281,356.9800109863281,362.3500061035156,355.9200134277344,359.3599853515625,3098800
2023-08-11,358.3500061035156,358.3500061035156,359.25,353.20001220703125,356.260009765625,2475200
2023-08-14,358.4800109863281,358.4800109863281,358.95001220703125,356.80999755859375,358.25,1990700
2023-08-15,354.5,354.5,357.9200134277344,353.6700134277344,357.0,2863700
2023-08-16,354.1099853515625,354.1099853515625,358.7200012207031,353.3800048828125,354.6000061035156,2196100
2023-08-17,353.19000244140625,353.19000244140625,356.29998779296875,351.8800048828125,354.010009765625,2847700
2023-08-18,352.55999755859375,352.55999755859375,354.29998779296875,351.25,351.4700012207031,2870600
2023-08-21,352.0899963378906,352.0899963378906,354.17999267578125,349.6099853515625,354.0899963378906,2540000
2023-08-22,350.57000732421875,350.57000732421875,353.5,349.6600036621094,353.010009765625,2363300
2023-08-23,354.260009765625,354.260009765625,354.32000732421875,351.5400085449219,351.6300048828125,2239500
2023-08-24,354.29998779296875,354.29998779296875,357.2300109863281,354.1300048828125,354.3500061035156,2521100
2023-08-25,355.92999267578125,355.92999267578125,357.3500061035156,352.9200134277344,354.989990234375,2136800
2023-08-28,355.54998779296875,355.54998779296875,358.4100036621094,354.5299987792969,357.8900146484375,1728000
2023-08-29,358.2900085449219,358.2900085449219,358.5899963378906,354.010009765625,355.0400085449219,2285600
2023-08-30,361.05999755859375,361.05999755859375,362.67999267578125,358.6000061035156,358.6300048828125,3058300
2023-08-31,360.20001220703125,360.20001220703125,362.4700012207031,359.25,362.17999267578125,2842300
2023-09-01,362.4599914550781,362.4599914550781,363.3900146484375,360.6000061035156,362.0,2637900
2023-09-05,360.4700012207031,360.4700012207031,366.4700012207031,360.0,363.8800048828125,2976800
2023-09-06,361.6700134277344,361.6700134277344,362.79998779296875,359.260009765625,360.0199890136719,2655800
2023-09-07,361.79998779296875,361.79998779296875,363.29998779296875,360.8699951171875,360.9599914550781,3263800
2023-09-08,363.1499938964844,363.1499938964844,364.8299865722656,361.7699890136719,362.5199890136719,3019100
2023-09-11,365.5199890136719,365.5199890136719,366.6099853515625,364.510009765625,364.8699951171875,2921600
2023-09-12,367.7799987792969,367.7799987792969,370.42999267578125,365.4700012207031,365.6499938964844,2898400
2023-09-13,367.82000732421875,367.82000732421875,370.8399963378906,365.9700012207031,369.3299865722656,3261400
2023-09-14,369.5,369.5,370.2200012207031,368.260009765625,370.1000061035156,3670100
2023-09-15,367.8599853515625,367.8599853515625,370.20001220703125,367.5199890136719,368.5199890136719,11595000
2023-09-18,370.42999267578125,370.42999267578125,371.3299865722656,367.7900085449219,369.3299865722656,3130900
2023-09-19,370.4800109863281,370.4800109863281,373.3399963378906,368.4599914550781,371.6400146484375,2603700
2023-09-20,366.82000732421875,366.82000732421875,371.3399963378906,366.7300109863281,371.3299865722656,2268400
2023-09-21,363.2799987792969,363.2799987792969,367.20001220703125,362.94000244140625,366.55999755859375,3178600
2023-09-22,360.1600036621094,360.1600036621094,363.4200134277344,359.760009765625,362.7799987792969,3969400
2023-09-25,361.7099914550781,361.7099914550781,361.8900146484375,357.2699890136719,359.010009765625,2556200
2023-09-26,359.4200134277344,359.4200134277344,360.7900085449219,357.95001220703125,359.79998779296875,3063900
2023-09-27,357.7799987792969,357.7799987792969,360.5199890136719,354.2699890136719,360.010009765625,3535400
2023-09-28,357.05999755859375,357.05999755859375,359.4700012207031,356.6700134277344,357.79998779296875,2731700
2023-09-29,350.29998779296875,350.29998779296875,357.5,348.54998779296875,357.29998779296875,4932900
2023-10-02,348.0799865722656,348.0799865722656,350.0,345.4100036621094,349.6400146484375,3527600
