datetime,adj_close,close,high,low,open,volume
2024-05-07,18479.369140625,18479.369140625,18638.810546875,18411.01953125,18577.55078125,2494400000
2024-05-08,18313.859375,18313.859375,18606.560546875,18298.359375,18510.5390625,2911700000
2024-05-09,18537.810546875,18537.810546875,18560.759765625,18278.109375,18306.25,2905000000
2024-05-10,18963.6796875,18963.6796875,18993.279296875,18657.509765625,18669.4296875,6506900000
2024-05-13,19115.060546875,19115.060546875,19123.48046875,18827.599609375,18904.580078125,3760600000
2024-05-14,19073.7109375,19073.7109375,19301.130859375,19072.640625,19203.8203125,3455200000
2024-05-16,19376.529296875,19376.529296875,19442.900390625,19114.380859375,19262.7890625,5813500000
2024-05-17,19553.609375,19553.609375,19602.240234375,19342.9609375,19525.119140625,4376100000
2024-05-20,19636.220703125,19636.220703125,19706.119140625,19574.560546875,19621.4296875,3501200000
2024-05-21,19220.619140625,19220.619140625,19487.359375,19175.80078125,19473.669921875,3517200000
2024-05-22,19195.599609375,19195.599609375,19359.6796875,19149.41015625,19225.259765625,2837600000
2024-05-23,18868.7109375,18868.7109375,19024.41015625,18776.2109375,19024.41015625,3166000000
2024-05-24,18608.939453125,18608.939453125,18867.91015625,18532.41015625,18742.279296875,3549000000
2024-05-27,18827.349609375,18827.349609375,18871.130859375,18504.529296875,18606.01953125,2906100000
2024-05-28,18821.16015625,18821.16015625,19000.51953125,18776.099609375,18814.009765625,2432700000
2024-05-29,18477.009765625,18477.009765625,18694.55078125,18425.08984375,18659.41015625,3215600000
2024-05-30,18230.189453125,18230.189453125,18537.919921875,18163.2109375,18423.779296875,3492800000
2024-05-31,18079.609375,18079.609375,18551.1796875,18077.390625,18409.619140625,5337100000
2024-06-03,18403.0390625,18403.0390625,18573.810546875,18283.560546875,18283.560546875,3140900000
2024-06-04,18444.109375,18444.109375,18541.029296875,18335.44921875,18335.44921875,2971500000
2024-06-05,18424.9609375,18424.9609375,18724.619140625,18375.26953125,18489.779296875,3250800000
2024-06-06,18476.80078125,18476.80078125,18700.6796875,18383.80078125,18577.580078125,2797700000
2024-06-07,18366.94921875,18366.94921875,18575.689453125,18302.330078125,18562.48046875,3310100000
2024-06-11,18176.33984375,18176.33984375,18267.689453125,17994.099609375,18163.119140625,3528500000
2024-06-12,17937.83984375,17937.83984375,18063.720703125,17848.759765625,18032.400390625,3139500000
2024-06-13,18112.630859375,18112.630859375,18173.529296875,17971.5703125,18104.130859375,2331300000
2024-06-14,17941.779296875,17941.779296875,18109.890625,17927.16015625,18028.0703125,2621300000
2024-06-17,17936.119140625,17936.119140625,18122.80078125,17752.9609375,17848.869140625,2118400000
2024-06-18,17915.55078125,17915.55078125,18043.48046875,17854.7890625,17961.890625,2550000000
2024-06-19,18430.390625,18430.390625,18448.66015625,18039.009765625,18056.220703125,3513300000
2024-06-20,18335.3203125,18335.3203125,18520.369140625,18274.19921875,18453.630859375,2682900000
2024-06-21,18028.51953125,18028.51953125,18240.130859375,17968.369140625,18199.140625,3426200000
2024-06-24,18027.7109375,18027.7109375,18032.669921875,17789.5703125,17906.359375,2716300000
2024-06-25,18072.900390625,18072.900390625,18231.4609375,17959.0703125,18088.01953125,2333700000
2024-06-26,18089.9296875,18089.9296875,18156.349609375,17934.630859375,17934.630859375,2308500000
2024-06-27,17716.470703125,17716.470703125,17961.919921875,17677.330078125,17946.0,2806100000
2024-06-28,17718.609375,17718.609375,17865.470703125,17583.189453125,17583.189453125,2826600000
2024-07-02,17769.140625,17769.140625,17986.140625,17669.419921875,17669.419921875,3374300000
2024-07-03,17978.5703125,17978.5703125,18017.759765625,17808.26953125,17841.76953125,3089700000
2024-07-04,18028.279296875,18028.279296875,18133.30078125,17942.080078125,18079.720703125,2994600000
